Date;Bitcoin;EURUSD;SP500;DowJones;VIX;Gold;Libor3m;US10YR;WTICRUDE
2013-04-29;144.54;1.304257;1593.61;5103.15;13.71;1472.5;0.2741;1.7;94.09
2013-04-30;139;1.309586;1597.57;5115.72;13.52;1472.75;0.2731;1.7;93.22
2013-05-01;116.99;1.316829;1582.7;5046.44;14.49;1469.5;0.2731;1.66;90.74
2013-05-02;105.21;1.318218;1597.59;5081.99;13.59;1456;0.2731;1.66;93.7
2013-05-03;97.75;1.306506;1614.42;5135.14;12.85;1476.5;0.2751;1.78;95.25
2013-05-04;112.5;1.308449333;1615.446667;5137.03;12.78666667;1473.125;0.2751;1.786666667;95.43333333
2013-05-05;115.91;1.310392667;1616.473333;5138.92;12.72333333;1469.75;0.2751;1.793333333;95.61666667
2013-05-06;112.3;1.312336;1617.5;5140.81;12.66;1466.375;0.2751;1.8;95.8
2013-05-07;111.5;1.307019;1625.96;5188.9;12.83;1463;0.2751;1.82;95.28
2013-05-08;113.57;1.307702;1632.69;5189.77;12.66;1454;0.2751;1.81;96.24
2013-05-09;112.67;1.316136;1626.67;5154.29;13.13;1469.5;0.2751;1.81;96.09
2013-05-10;117.2;1.303441;1633.7;5171.51;12.59;1449.25;0.2751;1.9;95.81
2013-05-11;115.24;1.301137;1633.723333;5165.353333;12.57666667;1442.75;0.2751;1.906666667;95.46
2013-05-12;115;1.298833;1633.746667;5159.196667;12.56333333;1436.25;0.2751;1.913333333;95.11
2013-05-13;117.98;1.296529;1633.77;5153.04;12.55;1429.75;0.2751;1.92;94.76
2013-05-14;111.5;1.298802;1650.34;5209.41;12.77;1436.5;0.2741;1.96;93.96
2013-05-15;114.22;1.293711;1658.78;5239.72;12.81;1412.25;0.2741;1.94;93.95
2013-05-16;118.76;1.288245;1650.47;5211.34;13.07;1377;0.2741;1.87;94.85
2013-05-17;123.01;1.288328;1667.47;5261.6;12.45;1376.75;0.2736;1.95;95.72
2013-05-18;123.5;1.286740333;1667.076667;5256.12;12.64;1369.083333;0.273433333;1.956666667;95.91
2013-05-19;121.99;1.285152667;1666.683333;5250.64;12.83;1361.416667;0.273266667;1.963333333;96.1
2013-05-20;122;1.283565;1666.29;5245.16;13.02;1353.75;0.2731;1.97;96.29
2013-05-21;122.88;1.289108;1669.16;5257.8;13.37;1378.75;0.2741;1.94;95.55
2013-05-22;123.89;1.291906;1655.35;5203.69;13.82;1385.25;0.27375;2.03;93.98
2013-05-23;126.7;1.284208;1650.51;5199.5;14.07;1386;0.27275;2.02;94.12
2013-05-24;133.2;1.292507;1649.6;5183.05;13.99;1385.25;0.27275;2.01;93.84
2013-05-25;131.98;1.292930667;1652.215;5184.8125;14.1125;1383.6875;0.27275;2.045;94.0425
2013-05-26;133.48;1.293354333;1654.83;5186.575;14.235;1382.125;0.27275;2.08;94.245
2013-05-27;129.74;1.293778;1657.445;5188.3375;14.3575;1380.5625;0.27275;2.115;94.4475
2013-05-28;129;1.293393;1660.06;5190.1;14.48;1379;0.27275;2.15;94.65
2013-05-29;132.3;1.284637;1648.36;5141.07;14.83;1384.5;0.27575;2.13;93.13
2013-05-30;128.8;1.294783;1654.41;5148.15;14.53;1406.25;0.27465;2.13;93.57
