Date;Bitcoin;EURUSD;SP500;DawJones;VIX;Gold;Libor3m;US10YR;WTICRUDE
2013-04-29;-0.776520818;1.384635541;-1.597847085;-1.564767637;-0.41916878;0.658276845;-0.887240023;-0.695391891;1.546898224
2013-04-30;-0.777542158;1.441947822;-1.590239623;-1.555560432;-0.444734909;0.659523159;-0.888400007;-0.695391891;1.506883829
2013-05-01;-0.781599865;1.519844772;-1.618806029;-1.606306271;-0.31421309;0.643321075;-0.888400007;-0.75790226;1.392819806
2013-05-02;-0.783771595;1.534783177;-1.590201201;-1.5802668;-0.435315809;0.57602011;-0.888400007;-0.75790226;1.528960736
2013-05-03;-0.785146902;1.408823066;-1.557869485;-1.541335775;-0.534889156;0.678217871;-0.886080039;-0.570371155;1.60025075
2013-05-04;-0.78242763;1.429723209;-1.55589718;-1.539951398;-0.543411199;0.66139263;-0.886080039;-0.55995276;1.608682903
2013-05-05;-0.781798971;1.450623353;-1.553924875;-1.538567021;-0.551933242;0.644567389;-0.886080039;-0.549534365;1.617115055
2013-05-06;-0.782464501;1.471523497;-1.55195257;-1.537182644;-0.560455285;0.627742148;-0.886080039;-0.53911597;1.625547207
2013-05-07;-0.782611987;1.414340273;-1.535700264;-1.501957942;-0.537580327;0.610916907;-0.886080039;-0.507860786;1.601630557
2013-05-08;-0.782230367;1.421685796;-1.522771419;-1.501320689;-0.560455285;0.566049597;-0.886080039;-0.523488378;1.645784372
2013-05-09;-0.782396289;1.512391702;-1.534336299;-1.527308887;-0.497212754;0.643321075;-0.886080039;-0.523488378;1.638885339
2013-05-10;-0.78156115;1.375859631;-1.520831132;-1.514695675;-0.569874386;0.542369628;-0.886080039;-0.382840049;1.626007142
2013-05-11;-0.78192249;1.351080593;-1.520786307;-1.519205276;-0.5716685;0.50996546;-0.886080039;-0.372421655;1.609909397
2013-05-12;-0.781966736;1.326301555;-1.520741482;-1.523714878;-0.573462614;0.477561292;-0.886080039;-0.36200326;1.593811652
2013-05-13;-0.781417351;1.301522517;-1.520696657;-1.52822448;-0.575256729;0.445157123;-0.886080039;-0.351584865;1.577713907
2013-05-14;-0.782611987;1.325968156;-1.488864421;-1.486934888;-0.545653842;0.478807606;-0.887240023;-0.289074497;1.540919061
2013-05-15;-0.782110535;1.271215516;-1.472650536;-1.464733583;-0.540271499;0.357915132;-0.887240023;-0.320329681;1.540459126
2013-05-16;-0.781273552;1.212429829;-1.488614681;-1.485521212;-0.505286269;0.182184836;-0.887240023;-0.429722826;1.581853327
2013-05-17;-0.780490033;1.213322476;-1.455956382;-1.448707039;-0.588712586;0.180938522;-0.887820015;-0.304702089;1.621867722
2013-05-18;-0.780399698;1.196247453;-1.456712005;-1.452721;-0.563146457;0.142718221;-0.888013346;-0.294283694;1.630606498
2013-05-19;-0.780678078;1.17917243;-1.457467629;-1.456734961;-0.537580327;0.10449792;-0.888206677;-0.283865299;1.639345274
2013-05-20;-0.780676234;1.162097407;-1.458223252;-1.460748921;-0.512014198;0.066277619;-0.888400007;-0.273446905;1.64808405
2013-05-21;-0.780514;1.221711213;-1.452709763;-1.451490443;-0.464918696;0.190909035;-0.887240023;-0.320329681;1.614048818
2013-05-22;-0.780327799;1.251803118;-1.479239828;-1.491124642;-0.404367337;0.223313203;-0.887646018;-0.179681352;1.541838932
